SID,X,Y,20100506,20100510,20100519,20100526,20100617,20100623,20100708,20100714,20100730,20100828,20100911,20100926,20101010,20101016,20101113
53D,254460.4363,4505681.155,0.22,0.225,0.2255,0.2305,0.1385,0.109,0.075,0.156,0.056,0.1085,0.0785,NA,0.1615,NA,NA
55,254464.4379,4505623.969,0.2285,0.236,0.2485,0.2375,0.1815,0.15,0.1075,NA,NA,NA,NA,NA,NA,NA,NA
55A,254465.5074,4505625.046,0.218,0.221,0.2315,0.2205,0.1545,0.1255,0.0845,0.14,0.071,0.1165,0.0605,0.078,0.1385,0.159,NA
55B,254465.3673,4505622.955,0.266,0.2695,0.2725,0.2405,0.172,0.1445,0.092,0.164,0.069,0.122,0.072,NA,0.1205,NA,0.115
55C,254463.4622,4505623.008,0.221,0.238,0.242,0.229,0.166,0.144,0.088,0.109,0.092,0.133,0.08,NA,0.138,NA,NA
55D,254463.5544,4505624.725,0.2375,0.2695,0.259,0.2535,0.1865,0.1495,0.0965,0.137,0.0845,0.1525,0.0765,NA,0.169,NA,NA
60,254489.4274,4505627.215,0.229,0.2385,0.243,NA,0.1785,0.1505,0.122,NA,NA,NA,NA,NA,NA,NA,NA
60A,254490.5091,4505628.042,0.2275,0.2325,0.24,NA,0.1825,0.1555,0.1085,0.183,0.085,0.154,0.088,NA,0.189,0.229,NA
60B,254490.3482,4505626.134,0.199,0.222,0.221,NA,0.1555,0.13,0.1005,0.1715,0.068,0.151,0.0735,NA,0.1885,NA,0.1505
60C,254488.395,4505626.336,0.229,0.2305,0.2455,NA,0.17,0.131,0.1015,0.1385,0.081,0.12,0.081,NA,0.174,NA,NA
60D,254488.6304,4505628.182,0.208,0.2265,0.224,NA,0.1425,0.1365,0.092,0.1295,0.0875,0.1325,0.091,0.0955,0.169,NA,NA
61,254539.5278,4505618.918,0.2815,0.2765,0.31,0.2125,0.246,0.19,0.12,0.2195,NA,NA,0.1155,NA,NA,0.2195,NA
61A,254540.8226,4505618.217,0.2925,0.273,0.279,0.2225,0.2165,0.1815,0.14,0.131,0.128,0.159,0.1315,NA,0.216,NA,0.1865
61B,254538.9948,4505617.515,0.269,0.256,0.2825,0.216,0.214,0.1705,0.11,0.184,0.0945,0.1245,0.0965,NA,0.182,NA,NA
61C,254538.1982,4505619.342,0.227,0.231,0.2615,0.18,0.1865,0.145,0.093,0.2315,0.079,0.1205,0.0905,NA,0.188,NA,NA
61D,254539.991,4505620.29,0.2305,0.2095,0.228,0.1825,0.1815,0.1435,0.0995,0.165,0.074,0.099,0.088,0.093,0.1715,NA,NA
65,254565.0651,4505658.61,0.27,0.2805,0.2935,0.2395,0.2305,0.1895,0.128,0.185,0.1095,0.1595,0.1225,0.1245,0.2115,0.249,0.202
67,254555.6702,4505716.067,0.214,0.2265,0.241,0.17,0.1785,0.1185,0.087,0.1875,0.09,0.1755,0.0885,0.1125,0.1735,0.2005,0.176
68,254550.9087,4505648.531,0.2455,0.2495,0.247,0.206,0.186,0.1625,0.1175,0.1955,0.1085,0.143,0.111,0.122,0.201,0.2325,0.183
70,254634.1701,4505678.18,0.298,0.303,0.302,0.2325,0.2515,0.214,0.1865,0.1835,0.1325,0.1515,0.1335,0.14,0.1795,0.238,0.1995
72,254645.7675,4505710.038,0.263,0.2895,0.2955,0.216,0.212,0.1675,0.104,0.154,0.095,0.135,0.098,0.113,0.1885,0.2095,0.1525
73,254636.4609,4505694.711,0.244,0.24,0.254,0.184,0.1735,0.1445,0.104,0.1355,0.078,0.126,0.087,0.1045,0.162,0.129,0.1475
74,254459.0298,4505693.628,0.213,0.2205,0.2105,0.2005,0.116,0.093,0.0455,NA,NA,NA,NA,NA,NA,NA,NA
74A,254460.3535,4505694.286,0.2845,0.282,0.2945,0.2785,0.2025,0.164,0.128,0.2185,0.1065,0.1885,0.093,0.14,0.217,NA,0.1865
74B,254459.4,4505693.061,0.107,0.109,0.1015,0.0975,0.0455,0.0275,0,0.0385,0,0.048,0,NA,0.0745,NA,NA
74C,254457.548,4505693.119,0.1565,0.165,0.184,0.155,0.099,0.0665,0.0375,0.117,0.016,0.0955,0.0345,NA,0.134,NA,NA
74D,254458.4568,4505694.832,0.2125,0.208,0.2485,0.2465,0.15,0.1125,0.0935,0.158,0.0655,0.1315,0.0845,NA,0.154,0.1965,NA
